Model,Accuracy,F1 Score
RandomForest,0.6737804878048781,0.4623115577889447
LogisticRegression,0.6280487804878049,0.0
DecisionTree,0.5762195121951219,0.4714828897338403
SVM,0.6280487804878049,0.0
