Model,MAE,RMSE,R2
Linear Regression,6665.422262123191,8353.700843968183,0.03290407813628626
Ridge Regression,6665.412642237988,8353.692937477503,0.032905908781509785
Random Forest Regressor,6684.870187305891,8375.869704044171,0.027764353291904742
